hflu;spn;mcat
>lcl|NZ_QWLX01000002.1_cds_WP_136429366.1_996 [locus_tag=FA898_RS05125] [protein=glycosyltransferase family 9 protein] [protein_id=WP_136429366.1] [location=43554..44597] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000423457.1_996 [locus_tag=SPNHU17_RS05045] [protein=alpha-glycosidase] [protein_id=WP_000423457.1] [location=999906..1001645] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_081569908.1_996 [locus_tag=MC195_RS05130] [db_xref=GeneID:66585892] [protein=lactoferrin/transferrin family TonB-dependent receptor] [protein_id=WP_081569908.1] [location=complement(1039593..1042817)] [gbkey=CDS]
>lcl|NZ_QWLX01000002.1_cds_WP_136429368.1_997 [locus_tag=FA898_RS05130] [protein=TonB-dependent hemoglobin/transferrin/lactoferrin family receptor] [protein_id=WP_136429368.1] [location=44924..47116] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000500477.1_997 [locus_tag=SPNHU17_RS05050] [protein=hypothetical protein] [protein_id=WP_000500477.1] [location=1001920..1002222] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_081569909.1_997 [gene=ahcY] [locus_tag=MC195_RS05135] [db_xref=GeneID:66585893] [protein=adenosylhomocysteinase] [protein_id=WP_081569909.1] [location=1043402..1044793] [gbkey=CDS]
>lcl|NZ_QWLX01000002.1_cds_WP_136429370.1_998 [gene=hxuB] [locus_tag=FA898_RS05135] [protein=heme/hemopexin-binding protein HxuB] [protein_id=WP_136429370.1] [location=47192..48886] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000348721.1_998 [locus_tag=SPNHU17_RS05055] [protein=GNAT family N-acetyltransferase] [protein_id=WP_000348721.1] [location=1002278..1002706] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_081569910.1_998 [gene=msrAB] [locus_tag=MC195_RS05140] [db_xref=GeneID:66585894] [protein=bifunctional peptide-methionine (S)-S-oxide reductase MsrA/peptide-methionine (R)-S-oxide reductase MsrB] [protein_id=WP_081569910.1] [location=1045078..1046754] [gbkey=CDS]
>lcl|NZ_QWLX01000002.1_cds_WP_136429372.1_999 [locus_tag=FA898_RS05140] [protein=filamentous hemagglutinin N-terminal domain-containing protein] [protein_id=WP_136429372.1] [location=48898..51615] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_999 [locus_tag=SPNHU17_RS05060] [protein=Type 1 glutamine amidotransferase-like domain-containing protein] [pseudo=true] [location=1002762..1003179] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003656591.1_999 [locus_tag=MC195_RS05145] [db_xref=GeneID:66585895] [protein=16S rRNA (uracil(1498)-N(3))-methyltransferase] [protein_id=WP_003656591.1] [location=1047083..1047823] [gbkey=CDS]
>lcl|NZ_QWLX01000002.1_cds_WP_118793507.1_1000 [gene=folB] [locus_tag=FA898_RS05145] [protein=dihydroneopterin aldolase] [protein_id=WP_118793507.1] [location=complement(51711..52067)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_001814426.1_1000 [locus_tag=SPNHU17_RS05065] [protein=aminoglycoside phosphotransferase] [protein_id=WP_001814426.1] [location=1003461..1003709] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_036350848.1_1000 [gene=folP] [locus_tag=MC195_RS05150] [db_xref=GeneID:66585896] [protein=dihydropteroate synthase] [protein_id=WP_036350848.1] [location=complement(1047824..1048714)] [gbkey=CDS]
>lcl|NZ_QWLX01000002.1_cds_WP_136429374.1_1001 [gene=plsY] [locus_tag=FA898_RS05150] [protein=glycerol-3-phosphate 1-O-acyltransferase PlsY] [protein_id=WP_136429374.1] [location=52150..52749] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_1001 [locus_tag=SPNHU17_RS05070] [protein=transposase family protein] [pseudo=true] [partial=3'] [location=1003814..>1004116] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003672298.1_1001 [gene=hflX] [locus_tag=MC195_RS05155] [db_xref=GeneID:66585897] [protein=GTPase HflX] [protein_id=WP_003672298.1] [location=1048818..1050227] [gbkey=CDS]
>lcl|NZ_QWLX01000002.1_cds_WP_112082329.1_1002 [gene=narQ] [locus_tag=FA898_RS05155] [protein=nitrate/nitrite two-component system sensor histidine kinase NarQ] [protein_id=WP_112082329.1] [location=52790..54493] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_012291629.1_1002 [locus_tag=SPNHU17_RS05075] [protein=FtsW/RodA/SpoVE family cell cycle protein] [protein_id=WP_012291629.1] [location=1004272..1005501] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003661477.1_1002 [gene=htpX] [locus_tag=MC195_RS05160] [db_xref=GeneID:66585898] [protein=protease HtpX] [protein_id=WP_003661477.1] [location=complement(1050287..1051192)] [gbkey=CDS]
>lcl|NZ_QWLX01000002.1_cds_WP_136429376.1_1003 [gene=murB] [locus_tag=FA898_RS05160] [protein=UDP-N-acetylmuramate dehydrogenase] [protein_id=WP_136429376.1] [location=54503..55528] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_044788948.1_1003 [gene=ppc] [locus_tag=SPNHU17_RS05080] [protein=phosphoenolpyruvate carboxylase] [protein_id=WP_044788948.1] [location=1005521..1008217] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003656667.1_1003 [locus_tag=MC195_RS05165] [db_xref=GeneID:66585899] [protein=lytic transglycosylase domain-containing protein] [protein_id=WP_003656667.1] [location=complement(1051374..1052285)] [gbkey=CDS]
>lcl|NZ_QWLX01000002.1_cds_WP_005660660.1_1004 [locus_tag=FA898_RS05165] [protein=DUF2322 family protein] [protein_id=WP_005660660.1] [location=55552..55863] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000792167.1_1004 [locus_tag=SPNHU17_RS05085] [protein=ABC transporter substrate-binding protein] [protein_id=WP_000792167.1] [location=1008630..1009634] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003656668.1_1004 [locus_tag=MC195_RS05170] [db_xref=GeneID:66585900] [protein=LrgB family protein] [protein_id=WP_003656668.1] [location=complement(1052527..1053219)] [gbkey=CDS]
>lcl|NZ_QWLX01000002.1_cds_WP_005692172.1_1005 [gene=rpoH] [locus_tag=FA898_RS05170] [protein=RNA polymerase sigma factor RpoH] [protein_id=WP_005692172.1] [location=56001..56846] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_208912229.1_1005 [locus_tag=SPNHU17_RS05090] [protein=ABC transporter permease] [partial=3'] [protein_id=WP_208912229.1] [location=1009703..>1010485] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003656669.1_1005 [locus_tag=MC195_RS05175] [db_xref=GeneID:66585901] [protein=hypothetical protein] [protein_id=WP_003656669.1] [location=complement(1053219..1053632)] [gbkey=CDS]
>lcl|NZ_QWLX01000002.1_cds_WP_136429378.1_1006 [gene=dusC] [locus_tag=FA898_RS05175] [protein=tRNA dihydrouridine(16) synthase DusC] [protein_id=WP_136429378.1] [location=complement(56886..57818)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000125412.1_1006 [locus_tag=SPNHU17_RS05095] [protein=ABC transporter ATP-binding protein] [protein_id=WP_000125412.1] [location=1010859..1011617] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003656671.1_1006 [gene=rpoD] [locus_tag=MC195_RS05185] [db_xref=GeneID:66585902] [protein=RNA polymerase sigma factor RpoD] [protein_id=WP_003656671.1] [location=1054066..1055946] [gbkey=CDS]
>lcl|NZ_QWLX01000002.1_cds_WP_136429380.1_1007 [gene=djlA] [locus_tag=FA898_RS05180] [protein=co-chaperone DjlA] [protein_id=WP_136429380.1] [location=complement(57818..58684)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000227864.1_1007 [gene=dnaG] [locus_tag=SPNHU17_RS05100] [protein=DNA primase] [protein_id=WP_000227864.1] [location=1011707..1013467] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003662963.1_1007 [locus_tag=MC195_RS05190] [db_xref=GeneID:66585903] [protein=site-specific recombinase] [protein_id=WP_003662963.1] [location=complement(1056139..1058487)] [gbkey=CDS]
>lcl|NZ_QWLX01000002.1_cds_WP_005686697.1_1008 [gene=pyrE] [locus_tag=FA898_RS05185] [protein=orotate phosphoribosyltransferase] [protein_id=WP_005686697.1] [location=complement(58763..59404)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000201898.1_1008 [gene=rpoD] [locus_tag=SPNHU17_RS05105] [protein=RNA polymerase sigma factor RpoD] [protein_id=WP_000201898.1] [location=1013470..1014579] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_1008 [locus_tag=MC195_RS05195] [db_xref=GeneID:66585904] [protein=acyl-CoA dehydrogenase family protein] [pseudo=true] [location=complement(1058799..1059626)] [gbkey=CDS]
>lcl|NZ_QWLX01000002.1_cds_WP_005632808.1_1009 [gene=rph] [locus_tag=FA898_RS05190] [protein=ribonuclease PH] [protein_id=WP_005632808.1] [location=complement(59428..60144)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000331928.1_1009 [locus_tag=SPNHU17_RS05110] [protein=metal-sulfur cluster assembly factor] [protein_id=WP_000331928.1] [location=1014593..1014922] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_1009 [locus_tag=MC195_RS05200] [db_xref=GeneID:66585905] [protein=acyl-CoA dehydrogenase C-terminal domain-containing protein] [pseudo=true] [location=complement(1059694..1061522)] [gbkey=CDS]
>lcl|NZ_QWLX01000002.1_cds_WP_136429382.1_1010 [gene=gltX] [locus_tag=FA898_RS05200] [protein=glutamate--tRNA ligase] [protein_id=WP_136429382.1] [location=complement(60445..61887)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_012291610.1_1010 [gene=cpoA] [locus_tag=SPNHU17_RS05115] [protein=alpha-galactosylglucosyldiacylglycerol synthase] [protein_id=WP_012291610.1] [location=1015037..1016080] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003656679.1_1010 [locus_tag=MC195_RS05205] [db_xref=GeneID:66585906] [protein=acetyl-CoA hydrolase/transferase family protein] [protein_id=WP_003656679.1] [location=complement(1061840..1063366)] [gbkey=CDS]
>lcl|NZ_QWLX01000002.1_cds_WP_136429384.1_1011 [gene=lpt6] [locus_tag=FA898_RS05220] [protein=phosphoethanolamine transferase Lpt6] [protein_id=WP_136429384.1] [location=62517..64172] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_001219433.1_1011 [locus_tag=SPNHU17_RS05120] [protein=glycosyltransferase family 4 protein] [protein_id=WP_001219433.1] [location=1016096..1017421] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_100185532.1_1011 [gene=prfB] [locus_tag=MC195_RS05210] [db_xref=GeneID:66585907] [protein=peptide chain release factor 2] [exception=ribosomal slippage] [protein_id=WP_100185532.1] [location=complement(join(1063619..1064641,1064643..1064714))] [gbkey=CDS]
>lcl|NZ_QWLX01000002.1_cds_WP_005656225.1_1012 [locus_tag=FA898_RS05225] [protein=virulence factor BrkB family protein] [protein_id=WP_005656225.1] [location=complement(64190..64999)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_016398151.1_1012 [locus_tag=SPNHU17_RS05125] [protein=PspC domain-containing protein] [protein_id=WP_016398151.1] [location=1017450..1017626] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003659407.1_1012 [locus_tag=MC195_RS05215] [db_xref=GeneID:66585908] [protein=HAD-IB family hydrolase] [protein_id=WP_003659407.1] [location=complement(1064865..1065539)] [gbkey=CDS]
>lcl|NZ_QWLX01000002.1_cds_WP_136429386.1_1013 [locus_tag=FA898_RS05230] [protein=YchJ family protein] [protein_id=WP_136429386.1] [location=complement(64996..65481)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000863859.1_1013 [locus_tag=SPNHU17_RS05130] [protein=DUF4044 domain-containing protein] [protein_id=WP_000863859.1] [location=1017685..1017819] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003659404.1_1013 [locus_tag=MC195_RS05220] [db_xref=GeneID:66585909] [protein=DUF937 domain-containing protein] [protein_id=WP_003659404.1] [location=complement(1065679..1066389)] [gbkey=CDS]
>lcl|NZ_QWLX01000002.1_cds_WP_136429388.1_1014 [locus_tag=FA898_RS05235] [protein=MOSC domain-containing protein] [protein_id=WP_136429388.1] [location=complement(65484..66146)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_023931670.1_1014 [gene=obgE] [locus_tag=SPNHU17_RS05135] [protein=GTPase ObgE] [protein_id=WP_023931670.1] [location=1017883..1019193] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003656685.1_1014 [locus_tag=MC195_RS05225] [db_xref=GeneID:66585910] [protein=hypothetical protein] [protein_id=WP_003656685.1] [location=complement(1066567..1066983)] [gbkey=CDS]
>lcl|NZ_QWLX01000002.1_cds_WP_005668933.1_1015 [gene=udp] [locus_tag=FA898_RS05240] [protein=uridine phosphorylase] [protein_id=WP_005668933.1] [location=66384..67142] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_001808548.1_1015 [locus_tag=SPNHU17_RS05140] [protein=hypothetical protein] [protein_id=WP_001808548.1] [location=1019203..1019361] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003656686.1_1015 [locus_tag=MC195_RS05230] [db_xref=GeneID:66585911] [protein=succinate dehydrogenase assembly factor 2] [protein_id=WP_003656686.1] [location=complement(1067083..1067349)] [gbkey=CDS]
>lcl|NZ_QWLX01000002.1_cds_WP_112071135.1_1016 [locus_tag=FA898_RS05245] [protein=MHS family MFS transporter] [protein_id=WP_112071135.1] [location=complement(67367..68683)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_001227085.1_1016 [locus_tag=SPNHU17_RS05145] [protein=UDP-N-acetylglucosamine 1-carboxyvinyltransferase] [protein_id=WP_001227085.1] [location=1020610..1021869] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003656687.1_1016 [locus_tag=MC195_RS05235] [db_xref=GeneID:66585912] [protein=glyceraldehyde-3-phosphate dehydrogenase] [protein_id=WP_003656687.1] [location=complement(1067538..1068629)] [gbkey=CDS]
>lcl|NZ_QWLX01000002.1_cds_WP_065244992.1_1017 [gene=menH] [locus_tag=FA898_RS05250] [protein=2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase] [protein_id=WP_065244992.1] [location=complement(68739..69482)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_001028733.1_1017 [locus_tag=SPNHU17_RS05150] [protein=GNAT family N-acetyltransferase] [protein_id=WP_001028733.1] [location=1021885..1022436] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_081569911.1_1017 [locus_tag=MC195_RS05240] [db_xref=GeneID:66585913] [protein=AAA family ATPase] [protein_id=WP_081569911.1] [location=complement(1068616..1070472)] [gbkey=CDS]
>lcl|NZ_QWLX01000002.1_cds_WP_005665306.1_1018 [locus_tag=FA898_RS05255] [protein=2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase] [protein_id=WP_005665306.1] [location=complement(69543..71249)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000033830.1_1018 [locus_tag=SPNHU17_RS05155] [protein=CBS-HotDog domain-containing transcription factor SpxR] [protein_id=WP_000033830.1] [location=1022429..1023706] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003671548.1_1018 [locus_tag=MC195_RS05245] [db_xref=GeneID:66585914] [protein=glutamine--tRNA ligase/YqeY domain fusion protein] [protein_id=WP_003671548.1] [location=complement(1070609..1072366)] [gbkey=CDS]
>lcl|NZ_QWLX01000002.1_cds_WP_061720832.1_1019 [locus_tag=FA898_RS05260] [protein=isochorismate synthase MenF] [protein_id=WP_061720832.1] [location=complement(71265..72536)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000631543.1_1019 [locus_tag=SPNHU17_RS05160] [protein=methionyl aminopeptidase] [protein_id=WP_000631543.1] [location=1023722..1024582] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003656692.1_1019 [locus_tag=MC195_RS05250] [db_xref=GeneID:66585915] [protein=peptidyl-prolyl cis-trans isomerase] [protein_id=WP_003656692.1] [location=1072568..1073077] [gbkey=CDS]
>lcl|NZ_QWLX01000002.1_cds_WP_080306642.1_1020 [locus_tag=FA898_RS05265] [protein=hypothetical protein] [protein_id=WP_080306642.1] [location=72470..72739] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000992881.1_1020 [gene=pcrA] [locus_tag=SPNHU17_RS05165] [protein=DNA helicase PcrA] [protein_id=WP_000992881.1] [location=1025650..1027941] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003656695.1_1020 [locus_tag=MC195_RS05255] [db_xref=GeneID:66585916] [protein=UDP-2,3-diacylglucosamine diphosphatase] [protein_id=WP_003656695.1] [location=1073079..1073876] [gbkey=CDS]
>lcl|NZ_QWLX01000002.1_cds_WP_112074629.1_1021 [locus_tag=FA898_RS05270] [protein=pyridoxal phosphate-dependent aminotransferase] [protein_id=WP_112074629.1] [location=72693..73907] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000286922.1_1021 [gene=radC] [locus_tag=SPNHU17_RS05170] [protein=DNA repair protein RadC] [protein_id=WP_000286922.1] [location=1027984..1028664] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003659394.1_1021 [locus_tag=MC195_RS05260] [db_xref=GeneID:66585917] [protein=YceI family protein] [protein_id=WP_003659394.1] [location=complement(1073977..1074555)] [gbkey=CDS]
>lcl|NZ_QWLX01000002.1_cds_WP_136429389.1_1022 [gene=mtr] [locus_tag=FA898_RS05275] [protein=tryptophan permease] [protein_id=WP_136429389.1] [location=74023..75279] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000743316.1_1022 [locus_tag=SPNHU17_RS05175] [protein=gamma-glutamyl-gamma-aminobutyrate hydrolase family protein] [protein_id=WP_000743316.1] [location=complement(1028661..1029350)] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003656697.1_1022 [gene=orn] [locus_tag=MC195_RS05265] [db_xref=GeneID:66585918] [protein=oligoribonuclease] [protein_id=WP_003656697.1] [location=complement(1074897..1075484)] [gbkey=CDS]
>lcl|NZ_QWLX01000002.1_cds_WP_032824148.1_1023 [locus_tag=FA898_RS05280] [protein=L-serine ammonia-lyase] [protein_id=WP_032824148.1] [location=complement(75405..76772)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000653403.1_1023 [locus_tag=SPNHU17_RS05180] [protein=redox-sensing transcriptional repressor Rex] [protein_id=WP_000653403.1] [location=complement(1029368..1030009)] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003656698.1_1023 [locus_tag=MC195_RS05270] [db_xref=GeneID:66585919] [protein=DUF2062 domain-containing protein] [protein_id=WP_003656698.1] [location=1075669..1076331] [gbkey=CDS]
>lcl|NZ_QWLX01000002.1_cds_WP_032824149.1_1024 [locus_tag=FA898_RS05285] [protein=HAAAP family serine/threonine permease] [protein_id=WP_032824149.1] [location=complement(76807..78045)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000462488.1_1024 [locus_tag=SPNHU17_RS05185] [protein=DUF4649 family protein] [protein_id=WP_000462488.1] [location=complement(1030092..1030307)] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003661486.1_1024 [gene=metK] [locus_tag=MC195_RS05275] [db_xref=GeneID:66585920] [protein=methionine adenosyltransferase] [protein_id=WP_003661486.1] [location=1076658..1077818] [gbkey=CDS]
>lcl|NZ_QWLX01000002.1_cds_WP_136429391.1_1025 [locus_tag=FA898_RS05290] [protein=heavy metal translocating P-type ATPase] [protein_id=WP_136429391.1] [location=complement(78268..80436)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000863509.1_1025 [locus_tag=SPNHU17_RS05190] [protein=DUF1831 domain-containing protein] [protein_id=WP_000863509.1] [location=complement(1030315..1030662)] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003659388.1_1025 [locus_tag=MC195_RS05280] [db_xref=GeneID:66585921] [protein=DUF3144 domain-containing protein] [protein_id=WP_003659388.1] [location=1078038..1078382] [gbkey=CDS]
>lcl|NZ_QWLX01000002.1_cds_WP_005631184.1_1026 [locus_tag=FA898_RS05295] [protein=heavy-metal-associated domain-containing protein] [protein_id=WP_005631184.1] [location=complement(80411..80617)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000639662.1_1026 [locus_tag=SPNHU17_RS05195] [protein=cysteine desulfurase] [protein_id=WP_000639662.1] [location=complement(1030667..1031782)] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_081569912.1_1026 [gene=lolD] [locus_tag=MC195_RS05285] [db_xref=GeneID:66585922] [protein=lipoprotein-releasing ABC transporter ATP-binding protein LolD] [protein_id=WP_081569912.1] [location=complement(1078438..1079115)] [gbkey=CDS]
>lcl|NZ_QWLX01000002.1_cds_WP_005666693.1_1027 [locus_tag=FA898_RS05300] [protein=cation transporter] [protein_id=WP_005666693.1] [location=complement(80703..80909)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_001283813.1_1027 [locus_tag=SPNHU17_RS05200] [protein=ribose-phosphate diphosphokinase] [protein_id=WP_001283813.1] [location=complement(1031792..1032751)] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003661493.1_1027 [locus_tag=MC195_RS05290] [db_xref=GeneID:66585923] [protein=lipoprotein-releasing ABC transporter permease subunit] [protein_id=WP_003661493.1] [location=complement(1079124..1080368)] [gbkey=CDS]
>lcl|NZ_QWLX01000002.1_cds_WP_038439225.1_1028 [gene=cueR] [locus_tag=FA898_RS05305] [protein=Cu(I)-responsive transcriptional regulator] [protein_id=WP_038439225.1] [location=80986..81372] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000681292.1_1028 [locus_tag=SPNHU17_RS05205] [protein=CYTH domain-containing protein] [protein_id=WP_000681292.1] [location=complement(1032864..1033433)] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003668003.1_1028 [locus_tag=MC195_RS05295] [db_xref=GeneID:66585924] [protein=copper resistance protein NlpE] [protein_id=WP_003668003.1] [location=1080681..1081190] [gbkey=CDS]
>lcl|NZ_QWLX01000002.1_cds_WP_005631186.1_1029 [gene=metJ] [locus_tag=FA898_RS05310] [protein=met regulon transcriptional regulator MetJ] [protein_id=WP_005631186.1] [location=complement(81386..81703)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000171678.1_1029 [locus_tag=SPNHU17_RS05210] [protein=GTP pyrophosphokinase family protein] [protein_id=WP_000171678.1] [location=1033561..1034232] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003666087.1_1029 [locus_tag=MC195_RS05300] [db_xref=GeneID:66585925] [protein=mechanosensitive ion channel] [protein_id=WP_003666087.1] [location=1081356..1082858] [gbkey=CDS]
>lcl|NZ_QWLX01000002.1_cds_WP_005666690.1_1030 [gene=rho] [locus_tag=FA898_RS05315] [protein=transcription termination factor Rho] [protein_id=WP_005666690.1] [location=81951..83213] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000799059.1_1030 [locus_tag=SPNHU17_RS05215] [protein=NAD kinase] [protein_id=WP_000799059.1] [location=1034216..1035034] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_1030 [locus_tag=MC195_RS05305] [db_xref=GeneID:66585926] [protein=transposase] [pseudo=true] [location=complement(1082936..1084040)] [gbkey=CDS]
>lcl|NZ_QWLX01000002.1_cds_WP_075985521.1_1031 [locus_tag=FA898_RS05320] [protein=A24 family peptidase] [protein_id=WP_075985521.1] [location=complement(83268..83960)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_001210007.1_1031 [locus_tag=SPNHU17_RS05220] [protein=RluA family pseudouridine synthase] [protein_id=WP_001210007.1] [location=1035031..1035927] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003668001.1_1031 [gene=tnpA] [locus_tag=MC195_RS05310] [db_xref=GeneID:66585927] [protein=IS200/IS605 family transposase] [protein_id=WP_003668001.1] [location=1084088..1084498] [gbkey=CDS]
>lcl|NZ_QWLX01000002.1_cds_WP_005666687.1_1032 [locus_tag=FA898_RS05325] [protein=type II secretion system F family protein] [protein_id=WP_005666687.1] [location=complement(83957..85177)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000451584.1_1032 [gene=pta] [locus_tag=SPNHU17_RS05225] [protein=phosphate acetyltransferase] [protein_id=WP_000451584.1] [location=1035971..1036945] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003662988.1_1032 [locus_tag=MC195_RS05315] [db_xref=GeneID:66585928] [protein=divalent metal cation transporter] [protein_id=WP_003662988.1] [location=complement(1084633..1085895)] [gbkey=CDS]
>lcl|NZ_QWLX01000002.1_cds_WP_005666685.1_1033 [locus_tag=FA898_RS05330] [protein=GspE/PulE family protein] [protein_id=WP_005666685.1] [location=complement(85174..86568)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000981526.1_1033 [locus_tag=SPNHU17_RS05230] [protein=YbaB/EbfC family nucleoid-associated protein] [protein_id=WP_000981526.1] [location=complement(1037332..1037631)] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003669114.1_1033 [locus_tag=MC195_RS05320] [db_xref=GeneID:66585929] [protein=hypothetical protein] [protein_id=WP_003669114.1] [location=1086190..1087167] [gbkey=CDS]
>lcl|NZ_QWLX01000002.1_cds_WP_005666683.1_1034 [locus_tag=FA898_RS05335] [protein=prepilin-type N-terminal cleavage/methylation domain-containing protein] [protein_id=WP_005666683.1] [location=complement(86565..87014)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000509041.1_1034 [locus_tag=SPNHU17_RS05235] [protein=DUF1275 domain-containing protein] [protein_id=WP_000509041.1] [location=1038033..1038731] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_049149603.1_1034 [locus_tag=MC195_RS05325] [db_xref=GeneID:66585930] [protein=carboxylesterase] [protein_id=WP_049149603.1] [location=complement(1087252..1087923)] [gbkey=CDS]
>lcl|NZ_QWLX01000002.1_cds_WP_075985522.1_1035 [gene=ampD] [locus_tag=FA898_RS05340] [protein=1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD] [protein_id=WP_075985522.1] [location=87129..87689] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000109141.1_1035 [gene=rplU] [locus_tag=SPNHU17_RS05240] [protein=50S ribosomal protein L21] [protein_id=WP_000109141.1] [location=1038919..1039233] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003659373.1_1035 [locus_tag=MC195_RS05330] [db_xref=GeneID:66585931] [protein=zinc metallopeptidase] [protein_id=WP_003659373.1] [location=1088160..1089053] [gbkey=CDS]
>lcl|NZ_QWLX01000002.1_cds_WP_005656283.1_1036 [gene=corC] [locus_tag=FA898_RS05345] [protein=CNNM family magnesium/cobalt transport protein CorC] [protein_id=WP_005656283.1] [location=88312..89211] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000613700.1_1036 [locus_tag=SPNHU17_RS05245] [protein=ribosomal-processing cysteine protease Prp] [protein_id=WP_000613700.1] [location=1039249..1039593] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003666078.1_1036 [locus_tag=MC195_RS05335] [db_xref=GeneID:66585932] [protein=ATP-binding protein] [protein_id=WP_003666078.1] [location=1089086..1089961] [gbkey=CDS]
